true,pred_raw,pred_smoothed
-196.13742,-198.50617938763887,-198.50617938763887
-196.594,-197.5274284536314,-198.32021671017745
-196.13963,-197.7256243953016,-198.19931628778556
-197.49997,-197.5477897200243,-198.06286143842067
-197.26782,-198.10034465217907,-198.0521677303605
-197.51414,-196.4901415337101,-197.73804900354085
-196.84224,-197.45912836576503,-197.65524125820906
-197.32799,-198.74380109907065,-197.83029367489394
-196.82516,-196.84863509014988,-197.62113966495554
-197.44144,-198.05186825756408,-197.67261417296606
-196.89273,-202.84573723513967,-198.62893617103992
-197.70052,-204.14562612472648,-199.69270388914225
-197.28796,-202.94934175593835,-200.37159093309123
-198.47462,-203.07869146830006,-200.97184339226706
-197.60884,-203.10224203028716,-201.48359097173739
-198.02972,-201.29579819539953,-201.5710686930652
-197.38528,-201.27837104456256,-201.63586178370505
-197.5506,-199.02720650144178,-201.25704801653893
-196.95209,-197.71328279215237,-200.67826494521842
-197.51692,-197.24999483532736,-200.0917761241214
-197.07237,-195.97530161204764,-199.34611065372172
-197.1735,-193.11273477152082,-198.1645258325812
-196.56738,-195.60219818799686,-197.6299222659772
-196.6869,-195.686789422434,-197.1926884707912
-196.0204,-194.85520225910838,-196.66546854517514
-196.3001,-193.80207568680856,-196.02022369382843
-196.26605,-195.25908087015387,-195.752224869003
-196.62135,-197.00306483478684,-195.86157133418615
-196.69028,-193.8079044002021,-195.35447642341947
-196.40056,-193.24112980937312,-194.82057665320878
-196.89865,-194.07671036669333,-194.53108367679062
-196.7134,-197.06906331160425,-194.86059769232395
-197.0622,-194.34816605162675,-194.63261822170304
-196.73064,-197.94285987304144,-195.12810215486817
-197.56534,-199.62099769632977,-195.87643790433842
-197.03317,-198.23281240663914,-196.25628025428804
-197.38766,-195.34642147982,-196.0353036031751
-196.90874,-194.55510801780216,-195.69907413675665
-197.40588,-198.34600055819018,-196.13555819044188
-196.60208,-196.68023944191566,-196.19472008551227
-197.04018,-195.90303606758215,-196.09982777295997
-196.6097,-198.65654751764063,-196.54416425824988
-197.68018,-199.99149016903715,-197.17883974769398
-196.95667,-200.21002441527395,-197.76257490514215
-197.23514,-198.55502599692085,-197.9454251782894
-196.20619,-199.93638102223363,-198.36208736253442
-196.42476,-199.39805772913655,-198.61304524268138
-195.77628,-195.392832373694,-198.06317843293093
-195.84961,-196.9549293294401,-197.8878812780324
-195.48288,-197.58990853053962,-197.8572071112876
-195.3408,-198.51667398428785,-198.00577348662904
-195.11778,-195.97997756893778,-197.64924893671565
-195.68591,-194.86966469145125,-197.1328118908856
-195.78462,-195.1070347158713,-196.73696671640872
-195.7765,-193.64703811049398,-196.12263345005536
-196.32692,-193.12931927860566,-195.50190097285477
-196.18282,-194.83194686780547,-195.29888109132776
-196.3659,-196.86979355312144,-195.51695651526572
-195.88107,-196.41915161410444,-195.62150401062075
-197.06108,-194.45309044849026,-195.3406123364265
-196.61385,-195.48614248725858,-195.30049474881577
-197.43388,-197.41724447440993,-195.63676535779425
-196.86908,-198.86056409265746,-196.20118006969997
-197.51295,-195.35894047425697,-196.0196413390771
-197.16057,-199.73865887997107,-196.6981344557101
-197.76662,-199.14262743818944,-197.16487315048687
-197.1998,-197.06519764112977,-197.16799737469177
-197.33669,-197.89624303094774,-197.32739862302753
-196.3433,-197.36537656901828,-197.36133745049207
-196.91876,-196.84915459541227,-197.2907861169385
-196.17262,-195.15633314830154,-196.9075871465938
-197.01454,-196.07530360359138,-196.75428782713678
-196.16898,-200.87110954968742,-197.53452866589936
-196.26703,-198.09744817417067,-197.67289389278676
-195.55815,-195.9004649079519,-197.37178844879784
-195.88107,-195.3752659997268,-197.01339201119558
-195.52979,-194.10162124157532,-196.46471713257424
-196.00847,-193.698579333122,-195.92008155937486
-195.73393,-193.91085365557535,-195.497043844087
-195.62567,-194.27538925621525,-195.20778315694025
-195.6079,-191.50272048478055,-194.43735099477158
-195.6255,-192.18229024368034,-193.91307289250597
-195.92526,-194.3605275295869,-193.8849648875048
-195.96872,-195.62911857892985,-194.1079853292498
-196.60405,-193.41340525777719,-193.88285768854112
-196.42302,-195.8407311298776,-194.1570016909585
-196.76514,-196.82708082583238,-194.58330206953724
-196.24927,-195.7897294773876,-194.7539464075444
-197.25534,-196.17263245998976,-194.97527771872302
-196.62459,-198.82146750390112,-195.66980828653357
-197.13736,-199.1149835012224,-196.31966267812479
-197.05368,-199.44487483348456,-196.93667729667453
-198.31839,-198.4360401512439,-197.26986252344216
-197.79674,-197.53915353269977,-197.38099587587857
-198.39905,-200.84492348642004,-198.10069175912713
-197.76582,-200.77064513059656,-198.69697485422495
-198.08969,-198.37993359070592,-198.74646567143867
-197.82361,-197.0332643135373,-198.5270207499124
-198.60274,-196.00389330854398,-198.13875230816365
-198.05879,-196.5309933746922,-197.90305529291913
-198.44678,-195.56902139555248,-197.51564541535228
-197.95682,-197.0498986660047,-197.46374385571102
-198.13457,-195.97197413441566,-197.21275947950258
-197.43178,-194.1680280676567,-196.6543045286387
-197.77385,-192.7774254192386,-195.9128787506297
-197.58392,-193.736441641633,-195.46318241938343
-197.19595,-196.54478694098609,-195.61524659017354
-196.88481,-194.50313789398228,-195.35980065309093
-196.58536,-193.7198934107333,-194.99550636464565
-196.9143,-192.7262127251815,-194.49887253121096
-195.79831,-196.54635918491857,-194.80470035541865
-195.81041,-194.82928020948503,-194.74359247598943
-195.59897,-193.43822889340515,-194.43065222093162
-196.68713,-195.64156250782557,-194.58587976779938
-196.28934,-198.0037898772106,-195.17099410834567
-197.72514,-196.86084754662713,-195.45610563906598
-196.75635,-196.28539582625672,-195.5917575711547
-197.90508,-197.35794195878805,-195.91235578387852
-197.24637,-200.06699701945152,-196.70121665945993
-197.52849,-198.30265146754363,-197.0386261174183
-196.78859,-196.40660878517974,-196.96431992221665
-196.83981,-199.66693744873083,-197.51801723880772
-196.24377,-205.0761960417478,-199.0157604000189
-196.63309,-201.42670606280294,-199.59613362101774
-195.79633,-199.00300610400595,-199.62403866227322
-196.50198,-201.3515254255959,-200.08665009120958
-196.11102,-199.60030963574283,-200.14128310191984
-196.3856,-199.705527235976,-200.20011744997765
-195.64336,-201.0439272737085,-200.49712337693364
-195.90533,-201.6800434924228,-200.8640282982914
-195.557,-200.22824461964933,-200.8935396507056
-195.69975,-197.6159618450283,-200.41445716867253
-195.60606,-198.1716935859963,-200.10400443577325
-195.34473,-196.63860795951726,-199.54192834459604
-195.62863,-197.37509701402786,-199.19754642724868
-195.57248,-198.138525454383,-199.04542398373258
-196.07477,-195.29546144076033,-198.37295365660276
-195.75539,-194.86043409271235,-197.71482257334011
-195.7506,-194.40611735773558,-197.06687233144547
-195.36382,-196.51939640772633,-196.91694810527196
-196.22585,-192.11030416493213,-195.95380643896502
-195.44403,-191.69342688660888,-195.0560199836347
-196.95181,-192.50190401791357,-194.4487976787948
-196.38089,-196.46201568519737,-194.68989989204954
-197.50342,-197.79739684639264,-195.15663626334447
-197.20389,-198.92511624892944,-195.77536701640588
-198.2171,-198.3426808963974,-196.19737370172976
-197.70737,-199.7112544486077,-196.8206811637087
-198.55844,-198.88414037560025,-197.19731426688918
-198.53444,-196.68633326214314,-197.10167198999568
-199.18852,-198.60495253958481,-197.38458602114733
-198.97469,-195.45754386812936,-197.02794240398802
-199.45976,-195.25389035402114,-196.68466292104983
